b=0.006211180124223602,r=0.782608695652174,craigslist=0.006211180124223602,account=0.024844720496894408,log=0.024844720496894408,cl=0.012422360248447204,naccount=0.006211180124223602,email=0.012422360248447204,handle=0.006211180124223602,passwordforgot=0.006211180124223602,password=0.006211180124223602,mail=0.006211180124223602,login=0.006211180124223602,link=0.006211180124223602,create=0.012422360248447204,help=0.012422360248447204,xc=0.006211180124223602,xa=0.006211180124223602,craigslistcl=0.006211180124223602,safety=0.006211180124223602,privacy=0.006211180124223602,feedback=0.006211180124223602,jobs=0.006211180124223602,termsnew=0.006211180124223602,mobile=0.006211180124223602,desktop=0.006211180124223602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b=0.0005630630630630631,r=0.6739864864864865,accounts=0.0005630630630630631,sign=0.00731981981981982,view=0.0005630630630630631,bills=0.0005630630630630631,balances=0.0005630630630630631,emails=0.0005630630630630631,account=0.005067567567567568,successfully=0.0005630630630630631,logged=0.0005630630630630631,personal=0.0033783783783783786,business=0.0011261261261261261,hi=0.0005630630630630631,register=0.0022522522522522522,logo=0.0005630630630630631,created=0.0011261261261261261,sketch=0.0011261261261261261,shop=0.003941441441441441,help=0.007882882882882882,search=0.0016891891891891893,basket=0.0011261261261261261,browse=0.0016891891891891893,phones=0.00563063063063063,upgrades=0.0011261261261261261,apple=0.003941441441441441,iphone=0.007882882882882882,android=0.0022522522522522522,refurbished=0.0011261261261261261,tablets=0.0045045045045045045,dongles=0.0022522522522522522,pay=0.007882882882882882,monthly=0.003941441441441441,ipad=0.002815315315315315,tablet=0.0011261261261261261,computers=0.0011261261261261261,mobile=0.0033783783783783786,wifi=0.002815315315315315,sims=0.0033783783783783786,tariffs=0.0022522522522522522,go=0.003941441441441441,international=0.0011261261261261261,top=0.005067567567567568,accessories=0.0033783783783783786,watch=0.0016891891891891893,smartwatches=0.0011261261261261261,airpods=0.0011261261261261261,wireless=0.0011261261261261261,great=0.0011261261261261261,deals=0.0011261261261261261,clearance=0.0011261261261261261,flexibility=0.0011261261261261261,custom=0.0011261261261261261,plans=0.0011261261261261261,recycle=0.0011261261261261261,click=0.0011261261261261261,collect=0.0011261261261261261,perks=0.0022522522522522522,extras=0.0011261261261261261,priority=0.0022522522522522522,offers=0.0011261261261261261,tickets=0.0011261261261261261,venues=0.0011261261261261261,rewards=0.0016891891891891893,services=0.0011261261261261261,manage=0.0022522522522522522,gurus=0.0011261261261261261,tips=0.0011261261261261261,advice=0.0011261261261261261,keeping=0.0011261261261261261,kids=0.0011261261261261261,safe=0.0011261261261261261,online=0.0011261261261261261,ideas=0.0011261261261261261,inspiration=0.0011261261261261261,drive=0.0011261261261261261,car=0.0011261261261261261,insurance=0.0011261261261261261,connected=0.0011261261261261261,coverage=0.002815315315315315,checker=0.0011261261261261261,best=0.0011261261261261261,network=0.005067567567567568,g=0.003941441441441441,travel=0.0011261261261261261,roaming=0.0011261261261261261,abroad=0.0011261261261261261,queries=0.0011261261261261261,track=0.0022522522522522522,order=0.002815315315315315,sim=0.0033783783783783786,card=0.0011261261261261261,hotspot=0.0011261261261261261,collection=0.0022522522522522522,delivery=0.002815315315315315,device=0.0045045045045045045,use=0.0011261261261261261,faulty=0.0011261261261261261,health=0.0011261261261261261,check=0.00563063063063063,lost=0.0011261261261261261,stolen=0.0011261261261261261,community=0.0011261261261261261,managing=0.0011261261261261261,bill=0.0011261261261261261,payments=0.0011261261261261261,premium=0.0011261261261261261,charges=0.0011261261261261261,data=0.0011261261261261261,hub=0.0011261261261261261,ways=0.0011261261261261261,get=0.0011261261261261261,articles=0.0011261261261261261,store=0.002815315315315315,locator=0.0011261261261261261,status=0.0011261261261261261,contact=0.0022522522522522522,us=0.0022522522522522522,find=0.0016891891891891893,ready=0.0011261261261261261,see=0.0005630630630630631,reasons=0.0005630630630630631,choose=0.0005630630630630631,join=0.0005630630630630631,review=0.0005630630630630631,remember=0.0011261261261261261,user=0.0011261261261261261,forgotten=0.0011261261261261261,username=0.002815315315315315,password=0.002815315315315315,number=0.0033783783783783786,enter=0.0005630630630630631,send=0.0016891891891891893,code=0.0033783783783783786,sent=0.0005630630630630631,please=0.0005630630630630631,try=0.0005630630630630631,another=0.0011261261261261261,six=0.0005630630630630631,digit=0.0005630630630630631,continue=0.0005630630630630631,cancel=0.0005630630630630631,received=0.0005630630630630631,minutes=0.0005630630630630631,searches=0.0005630630630630631,samsung=0.002815315315315315,still=0.0005630630630630631,items=0.0005630630630630631,midnight=0.0005630630630630631,free=0.0005630630630630631,next=0.0005630630630630631,working=0.0005630630630630631,day=0.0005630630630630631,access=0.0011261261261261261,billing=0.0005630630630630631,details=0.0005630630630630631,make=0.0005630630630630631,changes=0.0005630630630630631,usually=0.0005630630630630631,email=0.0005630630630630631,address=0.0005630630630630631,already=0.0005630630630630631,customer=0.0016891891891891893,got=0.0005630630630630631,automatically=0.0005630630630630631,registered=0.0011261261261261261,given=0.0005630630630630631,yet=0.0005630630630630631,benefits=0.0005630630630630631,registering=0.0005630630630630631,usage=0.0005630630630630631,remaining=0.0005630630630630631,balance=0.0005630630630630631,set=0.0005630630630630631,auto=0.0005630630630630631,ups=0.0005630630630630631,whatever=0.0005630630630630631,back=0.0005630630630630631,popular=0.0011261261261261261,pro=0.0033783783783783786,max=0.0011261261261261261,xr=0.0011261261261261261,galaxy=0.0022522522522522522,plus=0.0011261261261261261,note=0.0011261261261261261,ultra=0.0011261261261261261,huawei=0.0011261261261261261,p=0.0011261261261261261,th=0.0011261261261261261,generation=0.0011261261261261261,disney=0.0011261261261261261,offer=0.0011261261261261261,support=0.0011261261261261261,home=0.0011261261261261261,social=0.0005630630630630631,footer=0.0011261261261261261,menu=0.0016891891891891893,abouto=0.0005630630630630631,blueprint=0.0005630630630630631,careers=0.0005630630630630631,news=0.0005630630630630631,pr=0.0005630630630630631,sponsorship=0.0005630630630630631,legal=0.0005630630630630631,terms=0.0005630630630630631,conditions=0.0005630630630630631,privacy=0.0005630630630630631,policy=0.0011261261261261261,cookie=0.0005630630630630631,modern=0.0005630630630630631,slavery=0.0005630630630630631,statement=0.0005630630630630631,telefónica=0.0011261261261261261,uk=0.0011261261261261261,limited=0.0011261261261261261,relation=0.0005630630630630631,consumer=0.0005630630630630631,credit=0.0005630630630630631,authorised=0.0005630630630630631,regulated=0.0005630630630630631,financial=0.0005630630630630631,conduct=0.0005630630630630631,authority=0.0005630630630630631,reference=0.0005630630630630631
b=0.0005630630630630631,r=0.6739864864864865,accounts=0.0005630630630630631,sign=0.00731981981981982,view=0.0005630630630630631,bills=0.0005630630630630631,balances=0.0005630630630630631,emails=0.0005630630630630631,account=0.005067567567567568,successfully=0.0005630630630630631,logged=0.0005630630630630631,personal=0.0033783783783783786,business=0.0011261261261261261,hi=0.0005630630630630631,register=0.0022522522522522522,logo=0.0005630630630630631,created=0.0011261261261261261,sketch=0.0011261261261261261,shop=0.003941441441441441,help=0.007882882882882882,search=0.0016891891891891893,basket=0.0011261261261261261,browse=0.0016891891891891893,phones=0.00563063063063063,upgrades=0.0011261261261261261,apple=0.003941441441441441,iphone=0.007882882882882882,android=0.0022522522522522522,refurbished=0.0011261261261261261,tablets=0.0045045045045045045,dongles=0.0022522522522522522,pay=0.007882882882882882,monthly=0.003941441441441441,ipad=0.002815315315315315,tablet=0.0011261261261261261,computers=0.0011261261261261261,mobile=0.0033783783783783786,wifi=0.002815315315315315,sims=0.0033783783783783786,tariffs=0.0022522522522522522,go=0.003941441441441441,international=0.0011261261261261261,top=0.005067567567567568,accessories=0.0033783783783783786,watch=0.0016891891891891893,smartwatches=0.0011261261261261261,airpods=0.0011261261261261261,wireless=0.0011261261261261261,great=0.0011261261261261261,deals=0.0011261261261261261,clearance=0.0011261261261261261,flexibility=0.0011261261261261261,custom=0.0011261261261261261,plans=0.0011261261261261261,recycle=0.0011261261261261261,click=0.0011261261261261261,collect=0.0011261261261261261,perks=0.0022522522522522522,extras=0.0011261261261261261,priority=0.0022522522522522522,offers=0.0011261261261261261,tickets=0.0011261261261261261,venues=0.0011261261261261261,rewards=0.0016891891891891893,services=0.0011261261261261261,manage=0.0022522522522522522,gurus=0.0011261261261261261,tips=0.0011261261261261261,advice=0.0011261261261261261,keeping=0.0011261261261261261,kids=0.0011261261261261261,safe=0.0011261261261261261,online=0.0011261261261261261,ideas=0.0011261261261261261,inspiration=0.0011261261261261261,drive=0.0011261261261261261,car=0.0011261261261261261,insurance=0.0011261261261261261,connected=0.0011261261261261261,coverage=0.002815315315315315,checker=0.0011261261261261261,best=0.0011261261261261261,network=0.005067567567567568,g=0.003941441441441441,travel=0.0011261261261261261,roaming=0.0011261261261261261,abroad=0.0011261261261261261,queries=0.0011261261261261261,track=0.0022522522522522522,order=0.002815315315315315,sim=0.0033783783783783786,card=0.0011261261261261261,hotspot=0.0011261261261261261,collection=0.0022522522522522522,delivery=0.002815315315315315,device=0.0045045045045045045,use=0.0011261261261261261,faulty=0.0011261261261261261,health=0.0011261261261261261,check=0.00563063063063063,lost=0.0011261261261261261,stolen=0.0011261261261261261,community=0.0011261261261261261,managing=0.0011261261261261261,bill=0.0011261261261261261,payments=0.0011261261261261261,premium=0.0011261261261261261,charges=0.0011261261261261261,data=0.0011261261261261261,hub=0.0011261261261261261,ways=0.0011261261261261261,get=0.0011261261261261261,articles=0.0011261261261261261,store=0.002815315315315315,locator=0.0011261261261261261,status=0.0011261261261261261,contact=0.0022522522522522522,us=0.0022522522522522522,find=0.0016891891891891893,ready=0.0011261261261261261,see=0.0005630630630630631,reasons=0.0005630630630630631,choose=0.0005630630630630631,join=0.0005630630630630631,review=0.0005630630630630631,remember=0.0011261261261261261,user=0.0011261261261261261,forgotten=0.0011261261261261261,username=0.002815315315315315,password=0.002815315315315315,number=0.0033783783783783786,enter=0.0005630630630630631,send=0.0016891891891891893,code=0.0033783783783783786,sent=0.0005630630630630631,please=0.0005630630630630631,try=0.0005630630630630631,another=0.0011261261261261261,six=0.0005630630630630631,digit=0.0005630630630630631,continue=0.0005630630630630631,cancel=0.0005630630630630631,received=0.0005630630630630631,minutes=0.0005630630630630631,searches=0.0005630630630630631,samsung=0.002815315315315315,still=0.0005630630630630631,items=0.0005630630630630631,midnight=0.0005630630630630631,free=0.0005630630630630631,next=0.0005630630630630631,working=0.0005630630630630631,day=0.0005630630630630631,access=0.0011261261261261261,billing=0.0005630630630630631,details=0.0005630630630630631,make=0.0005630630630630631,changes=0.0005630630630630631,usually=0.0005630630630630631,email=0.0005630630630630631,address=0.0005630630630630631,already=0.0005630630630630631,customer=0.0016891891891891893,got=0.0005630630630630631,automatically=0.0005630630630630631,registered=0.0011261261261261261,given=0.0005630630630630631,yet=0.0005630630630630631,benefits=0.0005630630630630631,registering=0.0005630630630630631,usage=0.0005630630630630631,remaining=0.0005630630630630631,balance=0.0005630630630630631,set=0.0005630630630630631,auto=0.0005630630630630631,ups=0.0005630630630630631,whatever=0.0005630630630630631,back=0.0005630630630630631,popular=0.0011261261261261261,pro=0.0033783783783783786,max=0.0011261261261261261,xr=0.0011261261261261261,galaxy=0.0022522522522522522,plus=0.0011261261261261261,note=0.0011261261261261261,ultra=0.0011261261261261261,huawei=0.0011261261261261261,p=0.0011261261261261261,th=0.0011261261261261261,generation=0.0011261261261261261,disney=0.0011261261261261261,offer=0.0011261261261261261,support=0.0011261261261261261,home=0.0011261261261261261,social=0.0005630630630630631,footer=0.0011261261261261261,menu=0.0016891891891891893,abouto=0.0005630630630630631,blueprint=0.0005630630630630631,careers=0.0005630630630630631,news=0.0005630630630630631,pr=0.0005630630630630631,sponsorship=0.0005630630630630631,legal=0.0005630630630630631,terms=0.0005630630630630631,conditions=0.0005630630630630631,privacy=0.0005630630630630631,policy=0.0011261261261261261,cookie=0.0005630630630630631,modern=0.0005630630630630631,slavery=0.0005630630630630631,statement=0.0005630630630630631,telefónica=0.0011261261261261261,uk=0.0011261261261261261,limited=0.0011261261261261261,relation=0.0005630630630630631,consumer=0.0005630630630630631,credit=0.0005630630630630631,authorised=0.0005630630630630631,regulated=0.0005630630630630631,financial=0.0005630630630630631,conduct=0.0005630630630630631,authority=0.0005630630630630631,reference=0.0005630630630630631
b=0.02702702702702703,tnetflix=0.05405405405405406,tsign=0.02702702702702703,tstep=0.02702702702702703,tconfirm=0.02702702702702703,payment=0.02702702702702703,billing=0.02702702702702703,tquestions=0.02702702702702703,contact=0.02702702702702703,us=0.02702702702702703,tgift=0.02702702702702703,card=0.02702702702702703,terms=0.02702702702702703,tterms=0.02702702702702703,use=0.02702702702702703,tprivacy=0.02702702702702703,statement=0.02702702702702703,xd=0.1891891891891892,xa=0.10810810810810811,x=0.05405405405405406,xb=0.05405405405405406,tfran=0.02702702702702703,xc=0.02702702702702703,ais=0.02702702702702703,tenglish=0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b=0.02702702702702703,tnetflix=0.05405405405405406,tsign=0.02702702702702703,tstep=0.02702702702702703,tconfirm=0.02702702702702703,payment=0.02702702702702703,billing=0.02702702702702703,tquestions=0.02702702702702703,contact=0.02702702702702703,us=0.02702702702702703,tgift=0.02702702702702703,card=0.02702702702702703,terms=0.02702702702702703,tterms=0.02702702702702703,use=0.02702702702702703,tprivacy=0.02702702702702703,statement=0.02702702702702703,xd=0.1891891891891892,xa=0.10810810810810811,x=0.05405405405405406,xb=0.05405405405405406,tfran=0.02702702702702703,xc=0.02702702702702703,ais=0.02702702702702703,tenglish=0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b=0.02702702702702703,tnetflix=0.05405405405405406,tsign=0.02702702702702703,tstep=0.02702702702702703,tconfirm=0.02702702702702703,payment=0.02702702702702703,billing=0.02702702702702703,tquestions=0.02702702702702703,contact=0.02702702702702703,us=0.02702702702702703,tgift=0.02702702702702703,card=0.02702702702702703,terms=0.02702702702702703,tterms=0.02702702702702703,use=0.02702702702702703,tprivacy=0.02702702702702703,statement=0.02702702702702703,xd=0.1891891891891892,xa=0.10810810810810811,x=0.05405405405405406,xb=0.05405405405405406,tfran=0.02702702702702703,xc=0.02702702702702703,ais=0.02702702702702703,tenglish=0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b=0.02702702702702703,tnetflix=0.05405405405405406,tsign=0.02702702702702703,tstep=0.02702702702702703,tconfirm=0.02702702702702703,payment=0.02702702702702703,billing=0.02702702702702703,tquestions=0.02702702702702703,contact=0.02702702702702703,us=0.02702702702702703,tgift=0.02702702702702703,card=0.02702702702702703,terms=0.02702702702702703,tterms=0.02702702702702703,use=0.02702702702702703,tprivacy=0.02702702702702703,statement=0.02702702702702703,xd=0.1891891891891892,xa=0.10810810810810811,x=0.05405405405405406,xb=0.05405405405405406,tfran=0.02702702702702703,xc=0.02702702702702703,ais=0.02702702702702703,tenglish=0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b=0.03333333333333333,r=0.9333333333333333,nsign=0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b=0.03333333333333333,r=0.9333333333333333,nsign=0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b=0.00684931506849315,r=0.684931506849315,craigslist=0.0136986301369863,payment=0.0136986301369863,cl=0.00684931506849315,verifiy=0.00684931506849315,cards=0.00684931506849315,first=0.00684931506849315,last=0.00684931506849315,card=0.0136986301369863,number=0.00684931506849315,expiry=0.00684931506849315,date=0.00684931506849315,security=0.00684931506849315,code=0.0136986301369863,address=0.00684931506849315,zip=0.00684931506849315,postal=0.00684931506849315,city=0.00684931506849315,state=0.00684931506849315,province=0.00684931506849315,united=0.00684931506849315,states=0.00684931506849315,canada=0.00684931506849315,clicking=0.00684931506849315,pay=0.00684931506849315,authorizes=0.00684931506849315,us=0.00684931506849315,charge=0.00684931506849315,nfor=0.00684931506849315,total=0.00684931506849315,shown=0.00684931506849315,sales=0.00684931506849315,subject=0.00684931506849315,terms=0.00684931506849315,use=0.00684931506849315,please=0.00684931506849315,click=0.00684931506849315,step=0.00684931506849315,may=0.00684931506849315,seconds=0.00684931506849315,proceed=0.00684931506849315,processing=0.00684931506849315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b=0.007194244604316547,r=0.7266187050359713,nnetflix=0.014388489208633094,ns=0.02158273381294964,identifier=0.02158273381294964,mail=0.014388489208633094,nmot=0.007194244604316547,passe=0.014388489208633094,nse=0.007194244604316547,souvenir=0.007194244604316547,facebook=0.007194244604316547,npremi=0.007194244604316547,xc=0.02158273381294964,xa=0.02158273381294964,visite=0.007194244604316547,netflix=0.007194244604316547,ninscrivez=0.007194244604316547,ndes=0.007194244604316547,questions=0.007194244604316547,contactez=0.007194244604316547,nconditions=0.014388489208633094,cartes=0.007194244604316547,cadeaux=0.007194244604316547,utilisation=0.007194244604316547,nd=0.007194244604316547,claration=0.007194244604316547,confidentialit=0.007194244604316547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
