feature,max,min,mean
коэффициент уникальности всех слов,1.0,0.0,0.5600182054188192
хороший netloc,1.0,0.0,0.9820248480042294
длина url,1169.0,0.0,62.29363820600934
кол-во @ в url,5.0,0.0,0.020574499955943255
кол-во ; в url,15.0,0.0,0.047272887479073045
кол-во = в url,17.0,0.0,0.36064851528769054
кол-во % в url,202.0,0.0,0.5547625341439775
кол-во - в url,37.0,0.0,1.0811965811965811
кол-во . в url,35.0,0.0,2.3174288483566836
кол-во : в url,8.0,0.0,1.0500925191646842
https,1.0,0.0,0.12454841836285135
кол-во фишинговых слов в url,9.0,0.0,0.34923781830998324
кол-во перенаправлений на сайт,7.0,0.0,0.20314565159925985
кол-во перенаправлений на другие домены,4.0,0.0,0.05546744206538021
случайный домен,1.0,0.0,0.38091461802802007
кол-во случайных слов в url,86.0,0.0,2.710282844303463
кол-во случайных слов в хосте url,8.0,0.0,0.636443739536523
домен в брендах,1.0,0.0,0.7841982777140565
кол-во www в url,5.0,0.0,0.38602520045819017
кол-во слов в url,208.0,0.0,8.760375363468148
средняя длина слова в url,23.0,0.0,4.9102116454072355
максимальная длина слова в url,24.0,0.0,9.984580139219315
кол-во всех ссылок в основном контексте страницы,15585.0,0.0,121.08154903515728
соотношение внутренних ссылок на сайты со всеми в основном контексте страницы,1.0,0.0,0.5998724534568862
соотношение пустых ссылок на сайты со всеми в основном контексте страницы,1.0,0.0,0.03496748946453692
соотношение внутренних скриптов со всеми в основном контексте страницы,1.0,0.0,0.27480216692868836
соотношение внутренних изображений со всеми в основном контексте страницы,1.0,0.0,0.477781884143981
соотношение внешних медиа со всеми в основном контексте страницы,1.0,0.0,0.4701807344586447
соотношение небезопасных якорей со всеми в основном контексте страницы,1.0,0.0,0.276810199762417
соотношение безопасных якорей со всеми в основном контексте страницы,1.0,0.0,0.4360690553848794
кол-во слов в тексте в основном контексте страницы,990735.0,0.0,861.8671689135607
соотношение текста со всех изображений с основным текстом в основном контексте страницы,1.0,0.0,0.009683061401401793
соотношение текста внутренних изображений с основным текстом в основном контексте страницы,1.0,0.0,0.006940779009182277
кол-во операций ввода/вывода во внутренне добавляемом коде страницы,487490.0,0.0,3409.995946779452
кол-во операций ввода/вывода во внешне добавляемом коде страницы,713513.0,0.0,1618.961802802009
домен зарегестрирован,1.0,-1.0,0.706626134461186
рейтинг по Alexa,1.0,-5e-07,0.031484090712838135
рейтинг по openpagerank,10.0,-1.0,3.6721737598026256
срок действия сертификата,1185.0,-1.0,263.30421182483036
кол-во альтернативных имен в сертификате,714.0,-1.0,9.66450788615737
