feature,max,min,mean
коэффициент уникальности слов,0.999,0.001,0.5824813907776513
наличие ip-адреса в url,0.999,0.001,0.031226631853785883
хороший netloc,0.999,0.001,0.9750271540469976
длина url,0.999,0.0017210982658959,0.025151378963612445
кол-во @ в url,0.2505,0.001,0.0010814295039164494
кол-во ; в url,0.1673333333333333,0.001,0.0010977154046997394
кол-во & в url,0.999,0.001,0.00543359698970972
кол-во / в url,0.8089047619047619,0.001,0.09024363421608847
кол-во % в url,0.999,0.001,0.005479479868077504
кол-во - в url,0.999,0.001,0.029982389033942545
кол-во . в url,0.8511481481481482,0.001,0.0334704670728169
фишинговые слова в url,0.999,0.001,0.007188642297650123
кол-во слов в url,0.999,0.001,0.009398415501970977
внутренние перенаправления,0.999,0.001,0.06493030352480418
внешние перенаправления,0.8326666666666667,0.001,0.0015102915578764143
случайные слова в url,0.999,0.001,0.008485305360639685
случайные слова в хосте url,0.5293529411764706,0.001,0.04338932575641217
повторяющиеся символы в url,0.8992000000000001,0.001,0.12451695038125213
повторяющиеся символы в хосте url,0.999,0.001,0.24448310081346447
домен в брендах,0.999,0.001,0.8341866840731071
бренд в пути url,0.999,0.001,0.7770557441253263
кол-во www в url,0.999,0.001,0.15793093994778065
кол-во com в url,0.5,0.001,0.008187510879025238
средняя длина слова в url,0.999,0.001,0.14410415701221788
максимальная длина слова в url,0.999,0.001,0.22176081375108786
минимальная длина слова в url,0.999,0.001,0.03203951072766487
кол-во поддоменов,0.3639090909090909,0.001,0.06262584856396863
сжатие страницы,0.3206293389741103,0.001,0.1724432328835594
кол-во ссылок в контексте,0.999,0.001,0.013723629696720812
кол-во внутренних ссылок,0.999,0.001,0.7753104501605755
кол-во внешних ссылок,0.999,0.001,0.1960036804980163
кол-во пустых ссылок,0.9409414448669204,0.001,0.023041221821825778
кол-во внутренних CSS,0.999,0.001,0.6231668743946459
кол-во внешних изображений,0.999,0.001,0.27963935964448355
кол-во внутренних изображений,0.999,0.001,0.6305276116348897
внутренний Favicon,0.999,0.001,0.7541549365001228
внутренние медиа,0.999,0.001,0.6074928498986565
внешние медиа,0.999,0.001,0.3209794738611348
кол-во небезопасных якорей,0.999,0.001,0.34294424980693333
кол-во безопасных якорей,0.999,0.001,0.5734765073732232
кол-во внешних ресурсов,0.999,0.001,0.30196182546300115
фишинговые слова в тексте,0.999,0.001,0.006985400151223324
кол-во слов в тексте,0.999,0.001,0.0021393638874105136
объем текста изображений,0.6663333333333333,0.001,0.0013163109234541363
объем текста внутренних изображений,0.6663333333333333,0.001,0.0012635966004368488
ввод/вывод во внешне добавляемом коде,0.999,0.001,0.016084774370696144
срок регистрации домена,0.999,0.001,0.01915565979753799
рейтинг по Alexa,0.999,0.001,0.04405659867594704
рейтинг по openpagerank,0.999,0.001,0.4207060336814622
срок действия сертификата,0.999,0.001,0.3899718226125484
