feature,max,min,mean
коэффициент уникальности слов,0.999,0.001,0.6929283283849084
наличие ip-адреса в url,0.999,0.001,0.2626167101827676
хороший netloc,0.999,0.001,0.9978925587467365
длина url,0.65503612716763,0.001,0.052598628865512566
кол-во @ в url,0.999,0.001,0.00927323759791123
кол-во ; в url,0.999,0.001,0.01070639686684073
кол-во & в url,0.7641764705882352,0.001,0.031226631853785894
кол-во / в url,0.999,0.001,0.10553376849434286
кол-во % в url,0.3424210526315789,0.001,0.00628777483853236
кол-во - в url,0.9324666666666668,0.001,0.04878717580504784
кол-во . в url,0.999,0.001,0.06758882603229857
фишинговые слова в url,0.3336666666666666,0.001,0.01702532637075717
кол-во слов в url,0.6859019607843138,0.001,0.02869381693495496
внутренние перенаправления,0.7494999999999999,0.001,0.07439241187989556
внешние перенаправления,0.999,0.001,0.034787815491731926
случайные слова в url,0.666853125,0.001,0.024408335917101825
случайные слова в хосте url,0.999,0.001,0.08986737060359389
повторяющиеся символы в url,0.999,0.001,0.04108983658836855
повторяющиеся символы в хосте url,0.8742499999999999,0.001,0.052824686918678795
домен в брендах,0.999,0.001,0.3238516971279373
бренд в пути url,0.999,0.001,0.666897911227154
кол-во www в url,0.999,0.001,0.0314437771975631
кол-во com в url,0.999,0.001,0.036123259355961695
средняя длина слова в url,0.6952608695652174,0.001,0.08413615021205739
максимальная длина слова в url,0.638611111111111,0.001,0.18804538004061494
минимальная длина слова в url,0.6952608695652174,0.001,0.010165421727778403
кол-во поддоменов,0.999,0.001,0.08369092095893658
сжатие страницы,0.999,0.0044230110376501,0.18536728271930805
кол-во ссылок в контексте,0.1060109796266926,0.001,0.002566537955202954
кол-во внутренних ссылок,0.999,0.001,0.34681527982022536
кол-во внешних ссылок,0.999,0.001,0.42629055181696857
кол-во пустых ссылок,0.999,0.001,0.03500395948552146
кол-во внутренних CSS,0.999,0.001,0.23799376241506925
кол-во внешних изображений,0.999,0.001,0.15810876769264945
кол-во внутренних изображений,0.999,0.001,0.24706499209847319
внутренний Favicon,0.999,0.001,0.3674726082053688
внутренние медиа,0.999,0.001,0.25207323821327615
внешние медиа,0.999,0.001,0.19081866779194573
кол-во небезопасных якорей,0.999,0.001,0.17142290067537236
кол-во безопасных якорей,0.999,0.001,0.3162878042854631
кол-во внешних ресурсов,0.999,0.001,0.3737177936049244
фишинговые слова в тексте,0.6206732026143791,0.001,0.002510404712865894
кол-во слов в тексте,0.1876961209983303,0.001,0.0011488545232302705
объем текста изображений,0.999,0.001,0.0025969890997062503
объем текста внутренних изображений,0.999,0.001,0.0021034029502211933
ввод/вывод во внешне добавляемом коде,0.6023514632070212,0.001,0.006090414058146611
срок регистрации домена,0.1115344114328695,0.001,0.012465984630748083
рейтинг по Alexa,0.999,0.001,0.6778658999084959
рейтинг по openpagerank,0.999,0.001,0.24824720391644908
срок действия сертификата,0.999,0.001,0.19221124107919924
