feature,max,min,mean
длина url,1.0,0.0,0.05345962555952807
кол-во - в url,1.0,0.0,0.03105964821278694
кол-во . в url,1.0,0.0,0.06737781078044967
кол-во фишинговых слов в url,1.0,0.0,0.03751832600293216
кол-во перенаправлений на сайт,1.0,0.0,0.03345328535252565
кол-во перенаправлений на другие домены,1.0,0.0,0.014352592296414767
кол-во случайных слов в хосте url,1.0,0.0,0.0896349793415967
кол-во www в url,1.0,0.0,0.07453685192589629
кол-во слов в url,1.0,0.0,0.04256278257927593
средняя длина слова в url,1.0,0.0,0.21314137305968664
максимальная длина слова в url,1.0,0.0,0.4191267937269537
кол-во всех ссылок в основном контексте страницы,1.0,0.0,0.007511802251615613
соотношение внутренних ссылок на сайты со всеми в основном контексте страницы,1.0,0.0,0.5804770873642351
кол-во слов в тексте в основном контексте страницы,1.0,0.0,0.0010364893526743054
соотношение текста со всех изображений с основным текстом в основном контексте страницы,1.0,0.0,0.008276196125998093
кол-во операций ввода/вывода во внутренне добавляемом коде страницы,1.0,0.0,0.006478531618935947
кол-во операций ввода/вывода во внешне добавляемом коде страницы,1.0,0.0,0.0021432438844382184
рейтинг по Alexa,1.0,0.0,0.03521022865459659
рейтинг по openpagerank,1.0,0.0,0.4020513006918444
кол-во альтернативных имен в сертификате,1.0,0.0,0.014542527977154057
