feature,max,min,mean
коэффициент уникальности всех слов,1.0,0.0,0.5600182054188192
наличие ip-адреса в url,1.0,0.0,0.13014362498898582
использование сервисов сокраения url,1.0,0.0,0.09560313684025024
наличие сертификата,1.0,0.0,0.8412194907040268
хороший netloc,1.0,0.0,0.9820248480042294
длина url,1169.0,0.0,62.29363820600934
кол-во @ в url,5.0,0.0,0.020574499955943255
кол-во ! в url,11.0,0.0,0.007798043880518107
кол-во + в url,17.0,0.0,0.014670896114195083
кол-во ( и ) в url,2.0,0.0,0.0015860428231562252
"кол-во , в url",5.0,0.0,0.016829676623491056
кол-во $ в url,1.0,0.0,0.0032601991364877964
кол-во ; в url,15.0,0.0,0.047272887479073045
кол-во пропусков в url,14.0,0.0,0.015728257996299233
кол-во & в url,15.0,0.0,0.2068023614415367
кол-во // в url,1.0,0.0,0.010000881134901753
кол-во / в url,19.0,0.0,4.1659177020001765
кол-во = в url,17.0,0.0,0.36064851528769054
кол-во % в url,202.0,0.0,0.5547625341439775
кол-во ? в url,4.0,0.0,0.18050048462419596
кол-во _ в url,18.0,0.0,0.2605515904484977
кол-во - в url,37.0,0.0,1.0811965811965811
кол-во . в url,35.0,0.0,2.3174288483566836
кол-во : в url,8.0,0.0,1.0500925191646842
кол-во * в url,3.0,0.0,0.003524539607013834
кол-во ~ в url,1.0,0.0,0.0011895321173671688
кол-во http токенов в url,7.0,0.0,1.0437042911269716
https,1.0,0.0,0.12454841836285135
соотношение цифр в url,0.6176470588235294,0.0,0.048571893697314725
кол-во цифр в url,278.0,0.0,5.3196757423561545
кол-во фишинговых слов в url,9.0,0.0,0.34923781830998324
кол-во распознанных слов в url,72.0,1.0,6.2112961494404795
tld в пути url,1.0,0.0,0.07630628249184951
tld в поддомене url,1.0,0.0,0.013833817957529297
tld на плохой позиции url,1.0,0.0,0.08758480923429376
ненормальный поддомен url,1.0,0.0,0.014935236584721122
кол-во перенаправлений на сайт,7.0,0.0,0.20314565159925985
кол-во перенаправлений на другие домены,4.0,0.0,0.05546744206538021
случайный домен,1.0,0.0,0.38091461802802007
кол-во случайных слов в url,86.0,0.0,2.710282844303463
кол-во случайных слов в хосте url,8.0,0.0,0.636443739536523
кол-во случайных слов в пути url,86.0,0.0,2.07383910476694
кол-во повторяющих последовательностей в url,39.0,0.0,1.6397039386730108
кол-во повторяющих последовательностей в хосте url,6.0,0.0,0.7183892853995947
кол-во повторяющих последовательностей в пути url,39.0,0.0,0.9213587100185038
наличие punycode,1.0,0.0,0.0001762269803506917
домен в брендах,1.0,0.0,0.7841982777140565
юренд в пути url,1.0,0.0,0.6311870829335067
кол-во www в url,5.0,0.0,0.38602520045819017
кол-во com в url,6.0,0.0,0.09644021499691603
наличие порта в url,1.0,0.0,0.017270244074367787
кол-во слов в url,208.0,0.0,8.760375363468148
средняя длина слова в url,23.0,0.0,4.9102116454072355
максимальная длина слова в url,24.0,0.0,9.984580139219315
минимальная длина слова в url,23.0,0.0,2.1802361441536697
префикс суффикс в url,1.0,0.0,0.2151290862631069
кол-во поддоменов,35.0,0.0,2.3174729051017713
кол-во визульно схожих доменов,73651.0,-1.0,15.261036214644463
степень сжатия страницы,1.0,-1.0,-0.35396353231923566
кол-во полей ввода/вывода в основном контексте страницы,315.0,0.0,1.5870561282932416
кол-во всех ссылок в основном контексте страницы,15585.0,0.0,121.08154903515728
соотношение внутренних ссылок на сайты со всеми в основном контексте страницы,1.0,0.0,0.5998724534568862
соотношение внешних ссылок на сайты со всеми в основном контексте страницы,1.0,0.0,0.2655477564353483
соотношение пустых ссылок на сайты со всеми в основном контексте страницы,1.0,0.0,0.03496748946453692
соотношение внутренних CSS со всеми в основном контексте страницы,1.0,0.0,0.4397194765637354
соотношение внешних CSS со всеми в основном контексте страницы,1.0,0.0,0.19823787833749357
соотношение встроенных CSS со всеми в основном контексте страницы,1.0,0.0,0.1501297012270642
соотношение внутренних скриптов со всеми в основном контексте страницы,1.0,0.0,0.27480216692868836
соотношение внешних скриптов со всеми в основном контексте страницы,1.0,0.0,0.14661264493023463
соотношение встроенных скриптов со всеми в основном контексте страницы,1.0,0.0,0.4858829519465728
соотношение внешних изображений со всеми в основном контексте страницы,1.0,0.0,0.23047265539525327
соотношение внутренних изображений со всеми в основном контексте страницы,1.0,0.0,0.477781884143981
общее кол-во перенаправлений по внутренним ссылкам в основном контексте страницы,0.5,-1.0,-0.07319283162376579
общее кол-во перенаправлений по внешним ссылкам в основном контексте страницы,0.0,-1.0,-0.016697506388228037
общее кол-во ошибок по внутренним ссылкам в основном контексте страницы,0.0,-1.0,-0.07326636708080007
общее кол-во ошибок по внешним ссылкам в основном контексте страницы,0.1428571428571428,-1.0,-0.016682863103714453
форма входа в основном контексте страницы,1.0,0.0,0.08991981672394044
соотношение внешних Favicon со всеми в основном контексте страницы,1.0,0.0,0.23084911996247567
соотношение внутренних Favicon со всеми в основном контексте страницы,1.0,0.0,0.613189300542743
соотношение внешних медиа со всеми в основном контексте страницы,1.0,0.0,0.4701807344586447
соотношение внешних медиа со всеми в основном контексте страницы.1,1.0,0.0,0.258196844434398
пустой титульник в основном контексте страницы,1.0,0.0,0.11864481452110318
соотношение небезопасных якорей со всеми в основном контексте страницы,1.0,0.0,0.276810199762417
соотношение безопасных якорей со всеми в основном контексте страницы,1.0,0.0,0.4360690553848794
соотношение внутренних ссылок на ресурсы со всеми в основном контексте страницы,1.0,0.0,0.5723542703055629
соотношение внешних ссылок на ресурсы со всеми в основном контексте страницы,1.0,0.0,0.29465163329827876
наличие невидимых в основном контексте страницы,1.0,0.0,0.002246893999471319
наличие onmouseover в основном контексте страницы,1.0,0.0,8.811349017534584e-05
наличие всплывающих окон в основном контексте страницы,1.0,0.0,0.0070931359591153405
наличие событий правой мыши в основном контексте страницы,1.0,0.0,0.0003965107057890563
наличие домена в тексте в основном контексте страницы,1.0,0.0,0.49859018415719447
наличие домена в титульнике в основном контексте страницы,1.0,0.0,0.2857079918935589
кол-во фишинговых слов в тексте в основном контексте страницы,244434.0,0.0,43.838003348312625
кол-во слов в тексте в основном контексте страницы,990735.0,0.0,861.8671689135607
соотношение текста со всех изображений с основным текстом в основном контексте страницы,1.0,0.0,0.009683061401401793
соотношение текста внутренних изображений с основным текстом в основном контексте страницы,1.0,0.0,0.006940779009182277
соотношение текста внешних изображений с основным текстом в основном контексте страницы,1.0,0.0,0.002741541052758909
соотношение текста внешних изображений с текстом внутренних изображений в основном контексте страницы,1.0,0.0,0.002964701423679244
общее кол-во перенаправлений по внутренним ссылкам во внутренне добавляемом контексте страницы,0.0,-1.0,-8.811349017534584e-05
общее кол-во перенаправлений по внешним ссылкам во внутренне добавляемом контексте страницы,0.0,-1.0,-8.811349017534584e-05
общее кол-во ошибок по внутренним ссылкам во внутренне добавляемом контексте страницы,0.0,-1.0,-8.811349017534584e-05
общее кол-во ошибок по внешним ссылкам во внутренне добавляемом контексте страницы,0.0,-1.0,-8.811349017534584e-05
пустой титульник во внутренне добавляемом контексте страницы,1.0,0.0,0.9982817869415808
кол-во операций ввода/вывода во внутренне добавляемом коде страницы,487490.0,0.0,3409.995946779452
общее кол-во перенаправлений по внутренним ссылкам во внешне добавляемом контексте страницы,0.0,-1.0,-0.0001762269803506917
общее кол-во перенаправлений по внешним ссылкам во внешне добавляемом контексте страницы,0.0,-1.0,-0.00022028372543836462
общее кол-во ошибок по внутренним ссылкам во внешне добавляемом контексте страницы,0.0,-1.0,-0.00022028372543836462
общее кол-во ошибок по внешним ссылкам во внешне добавляемом контексте страницы,0.0,-1.0,-0.00022028372543836462
пустой титульник во внешне добавляемом контексте страницы,1.0,0.0,0.9983258436866684
кол-во операций ввода/вывода во внешне добавляемом коде страницы,713513.0,0.0,1618.961802802009
срок регистрации домена,3647.0,-1.0,479.32262754427705
домен зарегестрирован,1.0,-1.0,0.706626134461186
рейтинг по Alexa,1.0,-5e-07,0.031484090712838135
рейтинг по openpagerank,10.0,-1.0,3.6721737598026256
соотношение оставшегося времени действия сертификата,0.996967766757866,-1.0,0.1884773339376782
срок действия сертификата,1185.0,-1.0,263.30421182483036
кол-во альтернативных имен в сертификате,714.0,-1.0,9.66450788615737
