feature,max,min,mean
extraction-contextData-time,1044.4200541973114,0.0,14.12543410647942
image-recognition-time,419.333372592926,0.0,10.156319083938564
коэффициент уникальности всех слов,932.3853714466096,0.0,0.8846665828665351
наличие ip-адреса в url,1.5438737869262695,0.0,0.014361696982535968
использование сервисов сокраения url,1.3448708057403564,0.0,0.013830723423339313
наличие сертификата,278.7432849407196,0.015557050704956,7.807029851368675
хороший netloc,144.3750777244568,0.0,0.5574350931444402
длина url,1.4076082706451416,0.0,0.01563759755258699
кол-во @ в url,1.152864694595337,0.0,0.013992743008043798
кол-во ! в url,2.3900609016418457,0.0,0.01364635041410557
кол-во + в url,2.2339060306549072,0.0,0.012813547292330045
кол-во ( и ) в url,3.253572463989258,0.0,0.012348873419426665
"кол-во , в url",1.658564567565918,0.0,0.011945208272490812
кол-во $ в url,2.296338558197021,0.0,0.011788072010620744
кол-во ; в url,1.0751211643218994,0.0,0.011431782929757106
кол-во пропусков в url,1.4527812004089355,0.0,0.01132219699321141
кол-во & в url,1.2208020687103271,0.0,0.01108388637189059
кол-во // в url,1.5488512516021729,0.0,0.010788304877685449
кол-во / в url,1.063157081604004,0.0,0.010485798239944196
кол-во = в url,58.613258600234985,0.0,0.013257602699210882
кол-во % в url,0.8279290199279785,0.0,0.01031670008585646
кол-во ? в url,5.6705381870269775,0.0,0.010420511483463556
кол-во _ в url,1.0591282844543457,0.0,0.009858960733621592
кол-во - в url,1.1559808254241943,0.0,0.009969734552278819
кол-во . в url,1.921421766281128,0.0,0.009939080559453925
кол-во : в url,2.01745867729187,0.0,0.009911959078363883
кол-во * в url,2.959446907043457,0.0,0.009840257008730417
кол-во ~ в url,1.376044511795044,0.0,0.009503453745502792
кол-во http токенов в url,4.01467752456665,0.0,0.009566044791683003
https,1.8645660877227783,0.0,0.009615559431982034
соотношение цифр в url,1.1898179054260254,0.0,0.00963913444589606
кол-во цифр в url,2.963731288909912,0.0,0.00954685717315773
кол-во фишинговых слов в url,1.9862151145935056,0.0,0.009437150530971569
кол-во распознанных слов в url,0.0,0.0,0.0
tld в пути url,2.718109607696533,0.0,0.009660110713048944
tld в поддомене url,0.8746614456176758,0.0,0.009055550207101503
tld на плохой позиции url,3.032913446426392,0.0,0.026685779427043428
ненормальный поддомен url,1.32844877243042,0.0,0.008932088540267676
кол-во перенаправлений на сайт,2.001840114593506,0.0,0.008899371935338901
кол-во перенаправлений на другие домены,1.6705377101898191,0.0,0.00901042160759987
случайный домен,15.326321125030518,0.0,0.024075365518058733
кол-во случайных слов в url,4.637589454650879,0.0,0.07394096470698203
кол-во случайных слов в хосте url,14.79576849937439,0.0,0.030594028425857178
кол-во случайных слов в пути url,4.358343124389648,0.0,0.05524182866728005
кол-во повторяющих последовательностей в url,1.2340848445892334,0.0,0.01135320078562701
кол-во повторяющих последовательностей в хосте url,1.1403532028198242,0.0,0.010593752754965777
кол-во повторяющих последовательностей в пути url,2.155738115310669,0.0,0.01040484511991397
наличие punycode,7.857525587081909,0.0,0.010809524435746025
домен в брендах,15.301087141036987,0.0,0.07946863971442224
юренд в пути url,2.0776329040527344,0.0,0.02229628229004723
кол-во www в url,2.2650914192199707,0.0,0.010612389632348715
кол-во com в url,11.56345820426941,0.0,0.010507824462406735
наличие порта в url,1.4827852249145508,0.0,0.010057073782992433
кол-во слов в url,1.312490463256836,0.0,0.009876048315519052
средняя длина слова в url,11.516637563705444,0.0,0.009744059800629135
максимальная длина слова в url,9.83038854598999,0.0,0.009971040577858019
минимальная длина слова в url,1.6615612506866455,0.0,0.009129658997045724
префикс суффикс в url,0.9372761249542236,0.0,0.009126821296169362
кол-во поддоменов,3.0418734550476074,0.0,0.008924441725061563
кол-во визульно схожих доменов,62.185781717300415,0.0,0.10457610595701443
степень сжатия страницы,2.0793251991271973,0.0,0.009286831255343415
