feature,max,min,mean
коэффициент уникальности слов,0.9999,0.0001,0.5697259602683838
наличие ip-адреса в url,0.9999,0.0001,0.025744091090691174
сокращение url,0.9999,0.0001,0.06568815821014784
наличие сертификата,0.9999,0.0001,0.7416216620055934
хороший netloc,0.9999,0.0001,0.979248917299241
длина url,0.8397378640776698,0.0013133495145631069,0.02038647189877002
кол-во @ в url,0.20006000000000002,0.0001,0.0001878769476628046
кол-во ! в url,0.9999,0.0001,0.0004994406711945665
кол-во + в url,0.35297058823529415,0.0001,0.0003091189396253907
кол-во [ и ] в url,,,
кол-во ( и ) в url,0.9999,0.0001,0.00019736366360367563
"кол-во , в url",0.9999,0.0001,0.0003221888733519776
кол-во $ в url,0.0001,0.0001,0.00010000000000000002
кол-во ; в url,0.16673333333333332,0.0001,0.00022648954587827942
кол-во пробелов в url,0.9999,0.0001,0.0003135956431229893
кол-во & в url,0.9999,0.0001,0.0035116932622030034
кол-во // в url,0.40002000000000004,0.0001,0.0006272616859768276
кол-во / в url,0.6190238095238095,0.0001,0.08878724159579932
кол-во = в url,0.9999,0.0001,0.007502967106139299
кол-во % в url,0.9999,0.0001,0.004133891651856851
кол-во ? в url,0.5,0.0001,0.018783837395125843
кол-во _ в url,0.9999,0.0001,0.003429781817374706
кол-во - в url,0.9999,0.0001,0.03133093461179917
кол-во . в url,0.9999,0.0001,0.01575297506821601
кол-во : в url,0.6249750000000001,0.0001,0.0030259029165001974
кол-во * в url,0.0001,0.0001,0.00010000000000000002
кол-во | в url,,,
кол-во ~ в url,0.25005,0.0001,0.00015991610067918498
кол-во http токенов в url,0.9999,0.0001,0.001103039907666356
https,0.9999,0.0001,0.47371680383539755
соотношение цифр в url,0.6342595432264545,0.0001,0.022623017390618328
кол-во цифр в url,0.20167759800871188,0.0001,0.0012716263520489788
фишинговые слова в url,0.9999,0.0001,0.023773055973300445
кол-во слов в url,0.9999,0.0010326492537313433,0.007788301389079373
tld в пути,0.9999,0.0001,0.0330937994406712
tld в поддомене,0.9999,0.0001,0.0012583779464642431
tld на плохой позиции,0.9999,0.0001,0.034172289252896525
ненормальный поддомен,0.9999,0.0001,0.0076494286855773065
внутренние перенаправления,0.7777222222222222,0.0001,0.044113923735961284
внешние перенаправления,0.5,0.0001,0.00033966440271673983
случайный домен,0.9999,0.0001,0.7616336396324411
случайные слова в url,0.9999,0.0001,0.0051708369082101475
случайные слова в хосте url,0.5294058823529412,0.0001,0.04233262720030081
случайные слова в пути url,0.9999,0.0001,0.0040168314579624945
повторяющиеся символы в url,0.8999200000000002,0.0001,0.1137797199444533
повторяющиеся символы в хосте url,0.9999,0.0001,0.1996400498682665
повторяющиеся символы в пути url,0.574985,0.0001,0.014437745027944307
наличие punycode,0.9999,0.0001,0.00033966440271673994
домен в брендах,0.9999,0.0001,0.8361692688773472
бренд в пути url,0.9999,0.0001,0.7852006392329205
кол-во www в url,0.9999,0.0001,0.09216108869356772
кол-во com в url,0.6666333333333333,0.0001,0.006650827007590888
наличие порта в url,0.9999,0.0001,0.020551362365161807
кол-во слов в url2,0.9999,0.0010326492537313433,0.007788301389079373
средняя длина слова в url,0.9999,0.03342666666666667,0.16972476161232702
максимальная длина слова в url,0.9999,0.03342666666666667,0.31588048555067255
минимальная длина слова в url,0.9999,0.03342666666666667,0.08117047862564923
префикс и суффикс в url,0.9999,0.0001,0.15867794646424296
кол-во поддоменов,0.2727727272727272,0.0001,0.050313323647986054
тайпсквотинг,0.08774732350659427,0.0001,0.00016581939376394565
сжатие страницы,0.9999,0.0001,0.09971549077670418
ввод/вывод в основном контексте,0.9999,0.0001,0.0026102517144545225
кол-во кода,,,
кол-во ссылок в контексте,0.9999,0.0001,0.003921894836314358
кол-во внутренних ссылок,0.9999,0.0001,0.7636102302991619
кол-во внешних ссылок,0.9999,0.0001,0.20423871418652262
кол-во пустых ссылок,0.9438364485981309,0.0001,0.024062521754826885
кол-во внутренних CSS,0.9999,0.0001,0.5964935834249245
кол-во внешних CSS,0.9999,0.0001,0.23090701677258263
кол-во встроенных CSS,0.9999,0.0001,0.11999026259794952
кол-во внутренних скриптов,0.9999,0.0001,0.3230432275549193
кол-во внешних скриптов,0.9999,0.0001,0.17934431504550005
кол-во встроенных скриптов,0.9999,0.0001,0.47945657870043873
кол-во внешних изображений,0.9999,0.0001,0.28724715516443955
кол-во внутренних изображений,0.9999,0.0001,0.6194296060977836
перенаправления по внутренним ссылкам,0.6666333333333333,0.0001,0.00019035023342746976
перенаправления по внешним ссылкам,,,
ошибки во внутренних ссылках,0.9999,0.0001,0.16947138799490802
ошибки во внешних ссылках,0.9999,0.0001,0.323059712991824
форма входа,0.9999,0.0001,0.11597773871354376
внешний Favicon,0.9999,0.0001,0.23332990522675284
внутренний Favicon,0.9999,0.0001,0.7400551787856614
письмо на почту,0.9999,0.0001,0.00025977626847782664
внутренние медиа,0.9999,0.0001,0.5954126809734369
внешние медиа,0.9999,0.0001,0.32550189717518396
пустой титульник,0.9999,0.0001,0.018953599680383543
кол-во небезопасных якорей,0.9999,0.0001,0.35795896286082085
кол-во безопасных якорей,0.9999,0.0001,0.561913238497549
кол-во внутренних ресурсов,0.9999,0.0001,0.6685197336334316
кол-во внешних ресурсов,0.9999,0.0001,0.31314795906111265
невидимый iframe,0.9999,0.0001,0.002416755892928486
onmouseover,0.9999,0.0001,0.0006991610067918498
всплывающие окна,0.9999,0.0001,0.017835165801038753
события правой кнопки мыши,0.9999,0.0001,0.0006991610067918498
домен в тексте,0.9999,0.0001,0.7015577626847782
домена в титульнике,0.9999,0.0001,0.41368087095485423
домен с авторскими правами,0.9999,0.0001,0.058138729524570526
фишинговые слова в тексте,0.9999,0.0001,0.01565738297897581
кол-во слов в тексте,0.9999,0.0001,0.0008620606485237367
объем текста изображений,0.9999,0.0001,0.0007040523443165162
объем текста внутренних изображений,0.9999,0.0001,0.0005506069894373669
объем текста внешних изображений,0.9368495495495495,0.0001,0.00025344535487914927
соотношение текста изображений,0.9999,0.0001,0.00019986016779864165
объем динамического текста,,,
объем внутреннее добавляемого текста,,,
кол-во внутренне добавляемого кода,,,
внутренне добавляемый ввод/вывод,,,
кол-во внутренне добавляемых ссылок,,,
кол-во внутренне добавляемых внутренних ссылок,,,
кол-во внутренне добавляемых внешних ссылок,,,
кол-во внутренне добавляемых пустых ссылок,,,
кол-во внутренне добавляемых внутренних CSS,,,
кол-во внутренне добавляемых внешних CSS,,,
кол-во внутренне добавляемых встроенных CSS,,,
кол-во внутренне добавляемых внутренних скриптов,,,
кол-во внутренне добавляемых внешних скриптов,,,
кол-во внутренне добавляемых встроенных скриптов,,,
кол-во внутренне добавляемых внешних изображений,,,
кол-во внутренне добавляемых внутренних изображений,,,
перенаправления внутренне добавляемых внутренних ссылок,,,
перенаправления внутренне добавляемых внешних ссылок,,,
ошибки внутренне добавляемых внутренних ссылок,,,
ошибки внутренне добавляемых внешних ссылок,,,
внутренне добавляемая форма входа,,,
внутренне добавляемые внешние Favicon,,,
внутренне добавляемые внутренних Favicon,,,
внутренне добавляемые письма на почту,,,
