feature,max,min,mean
коэффициент уникальности слов,0.999,0.001,0.6929283283849084
наличие ip-адреса в url,0.999,0.001,0.2626167101827676
сокращение url,0.999,0.001,0.20170744125326368
наличие сертификата,0.999,0.001,0.7569915143603133
хороший netloc,0.999,0.001,0.9978925587467365
длина url,0.65503612716763,0.001,0.05259862886551261
кол-во @ в url,0.999,0.001,0.00927323759791123
кол-во ! в url,0.999,0.001,0.004029177545691904
кол-во + в url,0.999,0.001,0.0015326447550299495
кол-во [ и ] в url,0.001,0.001,0.0010000000000000005
кол-во ( и ) в url,0.999,0.001,0.0017165796344647526
"кол-во , в url",0.5712857142857143,0.001,0.008584576650503543
кол-во $ в url,0.999,0.001,0.0020422976501305477
кол-во ; в url,0.999,0.001,0.010706396866840731
кол-во пробелов в url,0.20513636363636364,0.001,0.001950504391170188
кол-во & в url,0.7641764705882352,0.001,0.0312266318537859
кол-во // в url,0.999,0.001,0.00787916449086162
кол-во / в url,0.999,0.001,0.10553376849434291
кол-во = в url,0.7217777777777777,0.001,0.04347362924281984
кол-во % в url,0.34242105263157896,0.001,0.006287774838532363
кол-во ? в url,0.999,0.001,0.07026393603133159
кол-во _ в url,0.5831666666666667,0.001,0.013838718450826805
кол-во - в url,0.9324666666666667,0.001,0.048787175805047864
кол-во . в url,0.999,0.001,0.06758882603229861
кол-во : в url,0.999,0.001,0.007170029839612085
кол-во * в url,0.999,0.001,0.0023245865970409054
кол-во | в url,,,
кол-во ~ в url,0.999,0.001,0.001667721932114883
кол-во http токенов в url,0.999,0.001,0.021376919060052218
https,0.999,0.001,0.3200082245430809
соотношение цифр в url,0.999,0.001,0.14107744383971588
кол-во цифр в url,0.7340987654320988,0.001,0.040872107388066924
фишинговые слова в url,0.33366666666666667,0.001,0.01702532637075718
кол-во слов в url,0.6859019607843138,0.001,0.02869381693495501
tld в пути,0.999,0.001,0.0507045691906005
tld в поддомене,0.999,0.001,0.08470953002610963
tld на плохой позиции,0.999,0.001,0.11526187989556132
ненормальный поддомен,0.999,0.001,0.049857702349869436
внутренние перенаправления,0.7494999999999999,0.001,0.07439241187989556
внешние перенаправления,0.999,0.001,0.03478781549173193
случайный домен,0.999,0.001,0.7921690600522193
случайные слова в url,0.666853125,0.001,0.024408335917101825
случайные слова в хосте url,0.999,0.001,0.08986737060359393
случайные слова в пути url,0.6678951486697965,0.001,0.022069011224293833
повторяющиеся символы в url,0.999,0.001,0.041089836588368574
повторяющиеся символы в хосте url,0.8742499999999999,0.001,0.052824686918678816
повторяющиеся символы в пути url,0.999,0.001,0.014117677259915652
наличие punycode,0.999,0.001,0.0015211488250652743
домен в брендах,0.999,0.001,0.3238516971279373
бренд в пути url,0.999,0.001,0.666897911227154
кол-во www в url,0.999,0.001,0.0314437771975631
кол-во com в url,0.999,0.001,0.0361232593559617
наличие порта в url,0.999,0.001,0.0021074412532637067
кол-во слов в url2,0.6859019607843138,0.001,0.02869381693495501
средняя длина слова в url,0.6952608695652174,0.001,0.08413615021205742
максимальная длина слова в url,0.638611111111111,0.001,0.18804538004061505
минимальная длина слова в url,0.6952608695652174,0.001,0.010165421727778408
префикс и суффикс в url,0.999,0.001,0.3436553524804178
кол-во поддоменов,0.999,0.001,0.08369092095893663
тайпсквотинг,0.999,0.001,0.0014086510278779876
сжатие страницы,0.999,0.0044230110376501895,0.18536728271930808
ввод/вывод в основном контексте,0.999,0.001,0.003621313036767
кол-во кода,,,
кол-во ссылок в контексте,0.10601097962669269,0.001,0.0025665379552029955
кол-во внутренних ссылок,0.999,0.001,0.34681527982022536
кол-во внешних ссылок,0.999,0.001,0.42629055181696857
кол-во пустых ссылок,0.999,0.001,0.035003959485521464
кол-во внутренних CSS,0.999,0.001,0.23799376241506925
кол-во внешних CSS,0.999,0.001,0.2267213205945045
кол-во встроенных CSS,0.999,0.001,0.2245076323951259
кол-во внутренних скриптов,0.999,0.001,0.16018537268755687
кол-во внешних скриптов,0.999,0.001,0.14062471607974095
кол-во встроенных скриптов,0.999,0.001,0.4369446109716055
кол-во внешних изображений,0.999,0.001,0.15810876769264945
кол-во внутренних изображений,0.999,0.001,0.24706499209847319
перенаправления по внутренним ссылкам,0.999,0.001,0.0011351126583502564
перенаправления по внешним ссылкам,,,
ошибки во внутренних ссылках,0.999,0.001,0.22178427904807307
ошибки во внешних ссылках,0.999,0.001,0.305689497734256
форма входа,0.999,0.001,0.0831460835509138
внешний Favicon,0.999,0.001,0.3398371829173466
внутренний Favicon,0.999,0.001,0.3674726082053688
письмо на почту,0.001,0.001,0.0010000000000000005
внутренние медиа,0.999,0.001,0.25207323821327615
внешние медиа,0.999,0.001,0.19081866779194573
пустой титульник,0.999,0.001,0.1807312010443864
кол-во небезопасных якорей,0.999,0.001,0.17142290067537236
кол-во безопасных якорей,0.999,0.001,0.3162878042854631
кол-во внутренних ресурсов,0.999,0.001,0.3579557050895926
кол-во внешних ресурсов,0.999,0.001,0.3737177936049244
невидимый iframe,0.999,0.001,0.0027588772845953
onmouseover,0.999,0.001,0.001977154046997389
всплывающие окна,0.999,0.001,0.014159007832898163
события правой кнопки мыши,0.999,0.001,0.0011954308093994781
домен в тексте,0.999,0.001,0.21330300261096605
домена в титульнике,0.999,0.001,0.1156527415143603
домен с авторскими правами,0.999,0.001,0.007774934725848559
фишинговые слова в тексте,0.6206732026143791,0.001,0.002510404712865933
кол-во слов в тексте,0.18769612099833038,0.001,0.0011488545232303156
объем текста изображений,0.999,0.001,0.0025969890997062516
объем текста внутренних изображений,0.999,0.001,0.002103402950221194
объем текста внешних изображений,0.999,0.001,0.0014935861494850572
соотношение текста изображений,0.001,0.001,0.0010000000000000005
объем динамического текста,,,
объем внутреннее добавляемого текста,,,
кол-во внутренне добавляемого кода,,,
внутренне добавляемый ввод/вывод,,,
кол-во внутренне добавляемых ссылок,,,
кол-во внутренне добавляемых внутренних ссылок,,,
кол-во внутренне добавляемых внешних ссылок,,,
кол-во внутренне добавляемых пустых ссылок,,,
кол-во внутренне добавляемых внутренних CSS,,,
кол-во внутренне добавляемых внешних CSS,,,
кол-во внутренне добавляемых встроенных CSS,,,
кол-во внутренне добавляемых внутренних скриптов,,,
кол-во внутренне добавляемых внешних скриптов,,,
кол-во внутренне добавляемых встроенных скриптов,,,
кол-во внутренне добавляемых внешних изображений,,,
кол-во внутренне добавляемых внутренних изображений,,,
перенаправления внутренне добавляемых внутренних ссылок,,,
перенаправления внутренне добавляемых внешних ссылок,,,
ошибки внутренне добавляемых внутренних ссылок,,,
ошибки внутренне добавляемых внешних ссылок,,,
внутренне добавляемая форма входа,,,
внутренне добавляемые внешние Favicon,,,
внутренне добавляемые внутренних Favicon,,,
внутренне добавляемые письма на почту,,,
внутренне добавляемые внешние медиа,,,
внутренне добавляемые внутренние медиа,,,
внутренне добавляемый пустой титульник,,,
внутренне добавляемые небезопасные якори,,,
внутренне добавляемые безопасные якори,,,
внутренне добавляемые внутренние ресурсы,,,
