feature,max,min,mean
коэффициент уникальности слов,1.0,0.0,0.5826466841459431
наличие ip-адреса в url,1.0,0.0,0.030287206266318537
сокращение url,1.0,0.0,0.06168407310704961
наличие сертификата,1.0,0.0,0.910443864229765
хороший netloc,1.0,0.0,0.9759791122715404
длина url,1396.0,13.0,45.492493472584854
кол-во @ в url,1.0,0.0,0.00032637075718015666
кол-во ! в url,2.0,0.0,0.0016318537859007832
кол-во + в url,4.0,0.0,0.003394255874673629
кол-во [ и ] в url,4.0,0.0,0.0002610966057441253
кол-во ( и ) в url,4.0,0.0,0.000783289817232376
"кол-во , в url",7.0,0.0,0.0030678851174934726
кол-во $ в url,0.0,0.0,0.0
кол-во ; в url,2.0,0.0,0.001174934725848564
кол-во пробелов в url,44.0,0.0,0.011357702349869452
кол-во & в url,17.0,0.0,0.07552219321148824
кол-во // в url,1.0,0.0,0.0024804177545691905
кол-во / в url,17.0,0.0,1.8778720626631853
кол-во = в url,18.0,0.0,0.16860313315926892
кол-во % в url,152.0,0.0,0.6822454308093995
кол-во ? в url,2.0,0.0,0.09190600522193211
кол-во _ в url,36.0,0.0,0.14445169712793735
кол-во - в url,30.0,0.0,0.8712140992167102
кол-во . в url,24.0,1.0,1.8784595300261098
кол-во : в url,5.0,1.0,1.026762402088773
кол-во * в url,0.0,0.0,0.0
кол-во | в url,0.0,0.0,0.0
кол-во ~ в url,2.0,0.0,0.0009138381201044386
кол-во http токенов в url,6.0,1.0,1.0109660574412533
https,1.0,0.0,0.09223237597911227
соотношение цифр в url,0.5681818181818182,0.0,0.023931100014709345
кол-во цифр в url,324.0,0.0,1.989556135770235
фишинговые слова в url,30.0,0.0,0.1860313315926893
кол-во слов в url,1072.0,1.0,10.012728459530026
tld в пути,1.0,0.0,0.038511749347258484
tld в поддомене,1.0,0.0,0.001174934725848564
tld на плохой позиции,1.0,0.0,0.03962140992167102
ненормальный поддомен,1.0,0.0,0.009138381201044387
внутренние перенаправления,8.0,0.0,0.512467362924282
внешние перенаправления,5.0,0.0,0.0030678851174934726
случайный домен,1.0,0.0,0.7050913838120104
случайные слова в url,640.0,0.0,4.800195822454308
случайные слова в хосте url,9.0,0.0,0.7220626631853786
случайные слова в пути url,639.0,0.0,4.048955613577023
повторяющиеся символы в url,0.5,0.0,0.06875804407774
повторяющиеся символы в хосте url,0.6666666666666666,0.0,0.162647361932842
повторяющиеся символы в пути url,0.3333333333333333,0.0,0.0075522083379793315
наличие punycode,1.0,0.0,0.000195822454308094
домен в брендах,1.0,0.0,0.8348563968668408
бренд в пути url,1.0,0.0,0.7776109660574413
кол-во www в url,3.0,0.0,0.4717362924281984
кол-во com в url,3.0,0.0,0.04321148825065274
наличие порта в url,1.0,0.0,0.02369451697127937
кол-во слов в url2,1072.0,1.0,10.012728459530026
средняя длина слова в url,24.0,1.0,4.297991594469952
максимальная длина слова в url,37.0,1.0,8.96331592689295
минимальная длина слова в url,24.0,1.0,1.7153394255874674
префикс и суффикс в url,1.0,0.0,0.15345953002610965
кол-во поддоменов,5.0,1.0,1.679242819843342
тайпсквотинг,103.0,0.0,0.08276762402088773
сжатие страницы,1.4181818181818182,0.0446437138243035,0.7813840076146745
ввод/вывод в основном контексте,266.0,0.0,2.175522193211488
кол-во кода,0.0,0.0,0.0
кол-во ссылок в контексте,16394.0,0.0,209.00920365535248
кол-во внутренних ссылок,1.0,0.0,0.7758621745095948
кол-во внешних ссылок,1.0,0.0,0.19539446943689012
кол-во пустых ссылок,0.9418250950570344,0.0,0.02208539260703988
кол-во внутренних CSS,1.0,0.0,0.6234137017982423
кол-во внешних CSS,1.0,0.0,0.2148095852224803
кол-во встроенных CSS,1.0,0.0,0.10368271820120939
кол-во внутренних скриптов,1.0,0.0,0.323823735275865
кол-во внешних скриптов,1.0,0.0,0.171221329265445
кол-во встроенных скриптов,1.0,0.0,0.4892238649626064
кол-во внешних изображений,1.0,0.0,0.2791977551547931
кол-во внутренних изображений,1.0,0.0,0.6307891900149196
перенаправления по внутренним ссылкам,0.1666666666666666,0.0,3.638558811150546e-05
перенаправления по внешним ссылкам,0.0,0.0,0.0
ошибки во внутренних ссылках,1.0,0.0,0.37855405730832953
ошибки во внешних ссылках,1.0,0.0,0.43452084367574223
форма входа,1.0,0.0,0.106266318537859
внешний Favicon,1.0,0.0,0.2229467010272581
внутренний Favicon,1.0,0.0,0.7546642650301832
письмо на почту,1.0,0.0,6.527415143603133e-05
внутренние медиа,1.0,0.0,0.6077082664315193
внешние медиа,1.0,0.0,0.3206207152917182
пустой титульник,1.0,0.0,0.015926892950391645
кол-во небезопасных якорей,1.0,0.0,0.34262950882458254
кол-во безопасных якорей,1.0,0.0,0.5736237548829892
кол-во внутренних ресурсов,1.0,0.0,0.6825734258272957
кол-во внешних ресурсов,1.0,0.0,0.3015649553737486
невидимый iframe,1.0,0.0,0.0031984334203655354
onmouseover,1.0,0.0,0.0004569190600522193
всплывающие окна,1.0,0.0,0.01612271540469974
события правой кнопки мыши,1.0,0.0,0.0005221932114882506
домен в тексте,1.0,0.0,0.7240208877284595
домена в титульнике,1.0,0.0,0.45039164490861616
домен с авторскими правами,1.0,0.0,0.05926892950391645
фишинговые слова в тексте,3978.0,0.0,23.857637075718017
кол-во слов в тексте,998427.0,0.0,1139.8513707571801
объем текста изображений,0.6666666666666666,0.0,0.0003169448130802978
объем текста внутренних изображений,0.6666666666666666,0.0,0.0002641248501371235
объем текста внешних изображений,0.1818181818181818,0.0,5.281996294317427e-05
