feature,max,min,mean
коэффициент уникальности слов,1.0,0.0,0.6933149583015115
наличие ip-адреса в url,1.0,0.0,0.26214099216710185
сокращение url,1.0,0.0,0.20110966057441254
наличие сертификата,1.0,0.0,0.7575065274151436
хороший netloc,1.0,0.0,0.9988903394255875
длина url,919.0,12.0,83.5556135770235
кол-во @ в url,4.0,0.0,0.03315926892950392
кол-во ! в url,2.0,0.0,0.0060704960835509135
кол-во + в url,17.0,0.0,0.009073107049608354
кол-во [ и ] в url,0.0,0.0,0.0
кол-во ( и ) в url,4.0,0.0,0.0028720626631853785
"кол-во , в url",4.0,0.0,0.05319843342036554
кол-во $ в url,1.0,0.0,0.0010443864229765013
кол-во ; в url,12.0,0.0,0.11671018276762402
кол-во пробелов в url,9.0,0.0,0.041906005221932115
кол-во & в url,13.0,0.0,0.5148825065274152
кол-во // в url,5.0,0.0,0.03446475195822454
кол-во / в url,21.0,0.0,2.199608355091384
кол-во = в url,13.0,0.0,0.7660574412532637
кол-во % в url,52.0,0.0,0.8053524804177545
кол-во ? в url,4.0,0.0,0.27761096605744123
кол-во _ в url,21.0,0.0,0.4631201044386423
кол-во - в url,28.0,0.0,1.4364882506527414
кол-во . в url,28.0,1.0,2.8015013054830287
кол-во : в url,8.0,1.0,1.0432767624020887
кол-во * в url,3.0,0.0,0.003981723237597911
кол-во | в url,0.0,0.0,0.0
кол-во ~ в url,4.0,0.0,0.0026762402088772847
кол-во http токенов в url,6.0,1.0,1.102088772845953
https,1.0,0.0,0.3196475195822454
соотношение цифр в url,0.6224489795918368,0.0,0.08736579356900195
кол-во цифр в url,238.0,0.0,12.944451697127937
фишинговые слова в url,10.0,0.0,0.48172323759791125
кол-во слов в url,736.0,1.0,30.719516971279372
tld в пути,1.0,0.0,0.049804177545691906
tld в поддомене,1.0,0.0,0.08387728459530026
tld на плохой позиции,1.0,0.0,0.11449086161879896
ненормальный поддомен,1.0,0.0,0.0489556135770235
внутренние перенаправления,6.0,0.0,0.5883159268929504
внешние перенаправления,6.0,0.0,0.2031331592689295
случайный домен,1.0,0.0,0.7927545691906005
случайные слова в url,427.0,0.0,15.01135770234987
случайные слова в хосте url,17.0,0.0,1.5137728459530027
случайные слова в пути url,427.0,0.0,13.490078328981724
повторяющиеся символы в url,0.5555555555555555,0.0,0.022316764967918377
повторяющиеся символы в хосте url,0.5833333333333333,0.0,0.034619029337794795
повторяющиеся символы в пути url,0.6666666666666666,0.0,0.008762643460197495
наличие punycode,1.0,0.0,0.0005221932114882506
домен в брендах,1.0,0.0,0.3234986945169713
бренд в пути url,1.0,0.0,0.6672323759791122
кол-во www в url,3.0,0.0,0.09151436031331593
кол-во com в url,6.0,0.0,0.21116187989556134
наличие порта в url,1.0,0.0,0.0011096605744125327
кол-во слов в url2,736.0,1.0,30.719516971279372
средняя длина слова в url,17.0,1.0,2.915963381640602
максимальная длина слова в url,24.0,1.0,7.747127937336814
минимальная длина слова в url,17.0,1.0,1.2112271540469974
префикс и суффикс в url,1.0,0.0,0.3433420365535248
кол-во поддоменов,12.0,1.0,1.9114229765013055
тайпсквотинг,1289.0,0.0,0.5278067885117493
сжатие страницы,4.333333333333333,0.0593533650313528,0.8369223226172726
ввод/вывод в основном контексте,318.0,0.0,0.835248041775457
кол-во кода,0.0,0.0,0.0
кол-во ссылок в контексте,1725.0,0.0,25.733289817232375
кол-во внутренних ссылок,1.0,0.0,0.3465082964130514
кол-во внешних ссылок,1.0,0.0,0.4261428374919524
кол-во пустых ссылок,1.0,0.0,0.03407210369290728
кол-во внутренних CSS,1.0,0.0,0.23746869981469867
кол-во внешних CSS,1.0,0.0,0.22617366793036525
кол-во встроенных CSS,1.0,0.0,0.2239555434820901
кол-во внутренних скриптов,1.0,0.0,0.15950438145045778
кол-во внешних скриптов,1.0,0.0,0.13990452513000098
кол-во встроенных скриптов,1.0,0.0,0.43681824746653863
кол-во внешних изображений,1.0,0.0,0.15742361492249446
кол-во внутренних изображений,1.0,0.0,0.24655810831510344
перенаправления по внутренним ссылкам,0.5,0.0,6.769171260032879e-05
перенаправления по внешним ссылкам,0.0,0.0,0.0
ошибки во внутренних ссылках,1.0,0.0,0.22122673251309935
ошибки во внешних ссылках,1.0,0.0,0.30530009793011625
форма входа,1.0,0.0,0.0823107049608355
внешний Favicon,1.0,0.0,0.33951621534804266
внутренний Favicon,1.0,0.0,0.36720702224986856
письмо на почту,0.0,0.0,0.0
внутренние медиа,1.0,0.0,0.25157639099526674
внешние медиа,1.0,0.0,0.19019906592379338
пустой титульник,1.0,0.0,0.18009138381201045
кол-во небезопасных якорей,1.0,0.0,0.17076442953444126
кол-во безопасных якорей,1.0,0.0,0.3159196435726084
кол-во внутренних ресурсов,1.0,0.0,0.35767104718396053
кол-во внешних ресурсов,1.0,0.0,0.3734647230510264
невидимый iframe,1.0,0.0,0.001762402088772846
onmouseover,1.0,0.0,0.0009791122715404699
всплывающие окна,1.0,0.0,0.01318537859007833
события правой кнопки мыши,1.0,0.0,0.000195822454308094
домен в тексте,1.0,0.0,0.21272845953002611
домена в титульнике,1.0,0.0,0.11488250652741515
домен с авторскими правами,1.0,0.0,0.006788511749347258
фишинговые слова в тексте,2470.0,0.0,6.020430809399477
кол-во слов в тексте,186776.0,0.0,148.91821148825065
объем текста изображений,1.0,0.0,0.0016001894786635785
объем текста внутренних изображений,1.0,0.0,0.0011056141785783507
объем текста внешних изображений,1.0,0.0,0.0004945753000852276
соотношение текста изображений,0.0,0.0,0.0
объем динамического текста,0.0,0.0,0.0
объем внутреннее добавляемого текста,0.0,0.0,0.0
кол-во внутренне добавляемого кода,0.0,0.0,0.0
внутренне добавляемый ввод/вывод,0.0,0.0,0.0
кол-во внутренне добавляемых ссылок,0.0,0.0,0.0
кол-во внутренне добавляемых внутренних ссылок,0.0,0.0,0.0
кол-во внутренне добавляемых внешних ссылок,0.0,0.0,0.0
кол-во внутренне добавляемых пустых ссылок,0.0,0.0,0.0
кол-во внутренне добавляемых внутренних CSS,0.0,0.0,0.0
кол-во внутренне добавляемых внешних CSS,0.0,0.0,0.0
кол-во внутренне добавляемых встроенных CSS,0.0,0.0,0.0
кол-во внутренне добавляемых внутренних скриптов,0.0,0.0,0.0
кол-во внутренне добавляемых внешних скриптов,0.0,0.0,0.0
кол-во внутренне добавляемых встроенных скриптов,0.0,0.0,0.0
кол-во внутренне добавляемых внешних изображений,0.0,0.0,0.0
кол-во внутренне добавляемых внутренних изображений,0.0,0.0,0.0
перенаправления внутренне добавляемых внутренних ссылок,0.0,0.0,0.0
перенаправления внутренне добавляемых внешних ссылок,0.0,0.0,0.0
ошибки внутренне добавляемых внутренних ссылок,0.0,0.0,0.0
ошибки внутренне добавляемых внешних ссылок,0.0,0.0,0.0
внутренне добавляемая форма входа,0.0,0.0,0.0
внутренне добавляемые внешние Favicon,0.0,0.0,0.0
внутренне добавляемые внутренних Favicon,0.0,0.0,0.0
внутренне добавляемые письма на почту,0.0,0.0,0.0
внутренне добавляемые внешние медиа,0.0,0.0,0.0
внутренне добавляемые внутренние медиа,0.0,0.0,0.0
внутренне добавляемый пустой титульник,1.0,1.0,1.0
внутренне добавляемые небезопасные якори,0.0,0.0,0.0
внутренне добавляемые безопасные якори,0.0,0.0,0.0
внутренне добавляемые внутренние ресурсы,0.0,0.0,0.0
внутренне добавляемые внешние ресурсы,0.0,0.0,0.0
внутренне добавляемые невидимые iframe,0.0,0.0,0.0
внутренне добавляемые onmouseover,0.0,0.0,0.0
внутренне добавляемые всплывающие окна,0.0,0.0,0.0
внутренне добавляемые события правой кнопки мыши,0.0,0.0,0.0
домен во внутренне добавляемом тексте,0.0,0.0,0.0
домен во внутренне добавляемом титульнике,0.0,0.0,0.0
домен с внутренне добавляемыми авторскими правами,0.0,0.0,0.0
ввод/вывод во внутренне добавляемом коде,138276.0,0.0,1442.126501305483
фишинговые слова во внутренне добавляемом,0.0,0.0,0.0
внутренне добавляемый объем текста,0.0,0.0,0.0
объем внешне добавляемого текста,0.0,0.0,0.0
кол-во внешне добавляемого кода,0.0,0.0,0.0
внешне добавляемый ввод/вывод,0.0,0.0,0.0
кол-во внешне добавляемых ссылок,0.0,0.0,0.0
кол-во внешне добавляемых внутренних ссылок,0.0,0.0,0.0
кол-во внешне добавляемых внешних ссылок,0.0,0.0,0.0
кол-во внешне добавляемых пустых ссылок,0.0,0.0,0.0
кол-во внешне добавляемых внутренних CSS,0.0,0.0,0.0
кол-во внешне добавляемых внешних CSS,0.0,0.0,0.0
кол-во внешне добавляемых встроенных CSS,0.0,0.0,0.0
кол-во внешне добавляемых внутренних скриптов,0.0,0.0,0.0
кол-во внешне добавляемых внешних скриптов,0.0,0.0,0.0
кол-во внешне добавляемых встроенных скриптов,0.0,0.0,0.0
кол-во внешне добавляемых внешних изображений,0.0,0.0,0.0
кол-во внешне добавляемых внутренних изображений,0.0,0.0,0.0
перенаправления внешне добавляемых внутренних ссылок,0.0,0.0,0.0
перенаправления внешне добавляемых внешних ссылок,0.0,0.0,0.0
ошибки внешне добавляемых внутренних ссылок,0.0,0.0,0.0
ошибки внешне добавляемых внешних ссылок,0.0,0.0,0.0
внешне добавляемая форма входа,0.0,0.0,0.0
внешне добавляемые внешние Favicon,0.0,0.0,0.0
внешне добавляемые внутренних Favicon,0.0,0.0,0.0
внешне добавляемые письма на почту,0.0,0.0,0.0
внешне добавляемые внешние медиа,0.0,0.0,0.0
внешне добавляемые внутренние медиа,0.0,0.0,0.0
внешне добавляемый пустой титульник,1.0,1.0,1.0
внешне добавляемые небезопасные якори,0.0,0.0,0.0
внешне добавляемые безопасные якори,0.0,0.0,0.0
внешне добавляемые внутренние ресурсы,0.0,0.0,0.0
внешне добавляемые внешние ресурсы,0.0,0.0,0.0
внешне добавляемые невидимые iframe,0.0,0.0,0.0
внешне добавляемые onmouseover,0.0,0.0,0.0
внешне добавляемые всплывающие окна,0.0,0.0,0.0
внешне добавляемые события правой кнопки мыши,0.0,0.0,0.0
домен во внешне добавляемом тексте,0.0,0.0,0.0
домен во внешне добавляемом титульнике,0.0,0.0,0.0
домен с внешне добавляемыми авторскими правами,0.0,0.0,0.0
ввод/вывод во внешне добавляемом коде,82114.0,0.0,695.0914490861619
фишинговые слова во внешне добавляемом,0.0,0.0,0.0
внешне добавляемый объем текста,0.0,0.0,0.0
срок регистрации домена,3534.0,0.0,366.589817232376
домен зарегистрирован,1.0,0.0,0.9033942558746736
рейтинг по Alexa,1.0,1e-07,0.6782223767754569
рейтинг по openpagerank,10.0,0.0,2.4774268929503918
времени действия сертификата,0.9992331344682576,0.0,0.3069386669398308
срок действия сертификата,825.0,0.0,158.0654046997389
кол-во альтернативных имен,493.0,0.0,13.278394255874673
