feature,max,min,mean
коэффициент уникальности слов,1.0,0.0,0.6377459092580484
наличие ip-адреса в url,1.0,0.0,0.11576108669596484
сокращение url,1.0,0.0,0.11248501797842589
наличие сертификата,1.0,0.0,0.7324810227726728
хороший netloc,1.0,0.0,0.9890531362365161
длина url,1660.0,12.0,64.47930483419896
кол-во @ в url,5.0,0.0,0.019736316420295646
кол-во ! в url,3.0,0.0,0.0038553735517379145
кол-во + в url,17.0,0.0,0.007630842988413903
кол-во [ и ] в url,0.0,0.0,0.0
кол-во ( и ) в url,32.0,0.0,0.0025968837395125848
"кол-во , в url",16.0,0.0,0.009608469836196565
кол-во $ в url,2.0,0.0,0.001278465840990811
кол-во ; в url,12.0,0.0,0.06943667598881342
кол-во пробелов в url,95.0,0.0,0.03216140631242509
кол-во & в url,17.0,0.0,0.301078705553336
кол-во // в url,5.0,0.0,0.019496604075109867
кол-во / в url,21.0,0.0,2.0921294446664005
кол-во = в url,18.0,0.0,0.4649620455453456
кол-во % в url,174.0,0.0,0.7227127447063524
кол-во ? в url,4.0,0.0,0.18441869756292448
кол-во _ в url,36.0,0.0,0.31801837794646426
кол-во - в url,30.0,0.0,1.1591889732321214
кол-во . в url,48.0,1.0,2.26016779864163
кол-во : в url,9.0,1.0,1.0379744306831802
кол-во * в url,3.0,0.0,0.0033359968038353975
кол-во | в url,0.0,0.0,0.0
кол-во ~ в url,4.0,0.0,0.0014982021574111066
кол-во http токенов в url,10.0,1.0,1.057970435477427
https,1.0,0.0,0.570495405513384
соотношение цифр в url,0.9680722891566264,0.0,0.04661933613621953
кол-во цифр в url,1607.0,0.0,7.115621254494607
фишинговые слова в url,0.25,0.0,0.007377650871062723
кол-во слов в url,1072.0,0.0,15.933000399520575
tld в пути,1.0,0.0,0.04039153016380344
tld в поддомене,1.0,0.0,0.04089093088294047
tld на плохой позиции,1.0,0.0,0.07295245705153816
ненормальный поддомен,1.0,0.0,0.01869756292449061
внутренние перенаправления,9.0,0.0,0.4737914502596884
внешние перенаправления,6.0,0.0,0.0879544546544147
случайный домен,1.0,0.0,0.7680982820615262
случайные слова в url,640.0,0.0,5.798002397123452
случайные слова в хосте url,17.0,0.0,0.6947463044346784
случайные слова в пути url,639.0,0.0,5.080823012385138
повторяющиеся символы в url,0.5555555555555555,0.0,0.044118982286136144
повторяющиеся символы в хосте url,0.6666666666666666,0.0,0.08383755928917905
повторяющиеся символы в пути url,0.6666666666666666,0.0,0.01213842916454673
наличие punycode,1.0,0.0,0.00041949660407510986
домен в брендах,1.0,0.0,0.5837794646424291
бренд в пути url,1.0,0.0,0.7460846983619657
кол-во www в url,4.0,0.0,0.22423092289252897
кол-во com в url,6.0,0.0,0.13240111865761087
наличие порта в url,1.0,0.0,0.010846983619656412
кол-во слов в url2,1072.0,0.0,15.933000399520575
средняя длина слова в url,30.0,0.0,4.275584707620673
максимальная длина слова в url,30.0,0.0,8.711965641230524
минимальная длина слова в url,30.0,0.0,1.9709348781462246
префикс и суффикс в url,1.0,0.0,0.25529364762285256
кол-во поддоменов,12.0,1.0,1.6881941669996006
тайпсквотинг,1289.0,0.0,0.223112265281662
сжатие страницы,7.666666666666667,0.0318284704350252,0.815355987049844
ввод/вывод в основном контексте,969.0,0.0,1.678705553335997
кол-во кода,0.0,0.0,0.0
кол-во ссылок в контексте,50791.0,0.0,110.2982620854974
кол-во внутренних ссылок,1.0,0.0,0.5616312212797352
кол-во внешних ссылок,1.0,0.0,0.3166322859202315
кол-во пустых ссылок,1.0,0.0,0.030985394118451234
кол-во внутренних CSS,1.0,0.0,0.4253520385450523
кол-во внешних CSS,1.0,0.0,0.2279912662110276
кол-во встроенных CSS,1.0,0.0,0.17554522329785183
