estimator,rate
AdaBoost_DT,0.6848468629040039
Bagging_DT,0.9116923076923077
Bernoulli_NB,0.20257864209491
Complement_NB,0.6878125279559879
DT,0.92
ET,0.709884154658831
Gaussian_NB,0.7510345093104759
GradientBoost,0.895790893700758
HistGradientBoost,0.9368745857925428
kNN,0.9
logistic_regression,0.8176916784625102
Multinomial_NB,0.6884946956848824
neural_networks,0.855631563630086
RF,0.7371420434897407
"Stacking (AB, GB, XGB, HGB)",0.6472188194396533
"Stacking (AB, GB, XGB, HGB, RF, B, ET)",0.757438414025517
Stacking (All),0.6872855086869023
"Stacking (B, ET)",0.9104649098539735
"Stacking (DT, ANN, KNN)",0.8830622651350203
"Stacking (DT, ANN, KNN, SVM, LR)",0.8939564946565437
"Stacking (DT, ANN, KNN, SVM, LR, GNB, CNB, MNB, BNB)",0.9012558328420609
"Stacking (ET, B, LR)",0.8053552606626986
"Stacking (GNB, CNB, MNB, BNB)",0.6488712799740085
"Stacking (SVM, LR)",0.872708262572143
SVM,0.8699023509889071
XGB,0.9403200095248758
DoubleStacking,0.9619461221483177
phish,0.0
