estimator,count
AdaBoost_DT,196
Bagging_DT,193
Bernoulli_NB,250
Complement_NB,197
DT,199
ET,205
Gaussian_NB,195
GradientBoost,213
HistGradientBoost,212
kNN,231
logistic_regression,197
Multinomial_NB,197
neural_networks,194
RF,197
"Stacking (AB, GB, XGB, HGB)",171
"Stacking (AB, GB, XGB, HGB, RF, B, ET)",210
Stacking (All),212
"Stacking (B, ET)",205
"Stacking (DT, ANN, KNN)",232
"Stacking (DT, ANN, KNN, SVM, LR)",226
"Stacking (DT, ANN, KNN, SVM, LR, GNB, CNB, MNB, BNB)",229
"Stacking (ET, B, LR)",207
"Stacking (GNB, CNB, MNB, BNB)",187
"Stacking (SVM, LR)",211
SVM,211
XGB,223
DoubleStacking,232
phish,0
