estimator,rate
AdaBoost_DT,0.7075187078676695
Bagging_DT,0.9490000000000001
Bernoulli_NB,0.4977651737186376
Complement_NB,0.8826949679187013
DT,0.945
ET,0.8906915996070053
Gaussian_NB,0.9433113101745747
GradientBoost,0.9931764781322733
HistGradientBoost,0.9940745991138256
kNN,0.975
logistic_regression,0.9537462178638139
Multinomial_NB,0.881961575955022
neural_networks,0.970085963010788
RF,0.9090013967295518
"Stacking (AB, GB, XGB, HGB)",0.9760683545414424
"Stacking (AB, GB, XGB, HGB, RF, B, ET)",0.9799101892598511
Stacking (All),0.9858874527349379
"Stacking (B, ET)",0.9417996940632459
"Stacking (DT, ANN, KNN)",0.9547676861713881
"Stacking (DT, ANN, KNN, SVM, LR)",0.9566661462293328
"Stacking (DT, ANN, KNN, SVM, LR, GNB, CNB, MNB, BNB)",0.9510293243281638
"Stacking (ET, B, LR)",0.9502196591801527
"Stacking (GNB, CNB, MNB, BNB)",0.9308932222606435
"Stacking (SVM, LR)",0.968973634915837
SVM,0.9664239208438297
XGB,0.9806104898452759
phish,1.0
