estimator,rate
AdaBoost_DT,0.6659832700327144
Bagging_DT,0.8516153846153847
Bernoulli_NB,0.49999999999999983
Complement_NB,0.7633678560855945
DT,0.875
ET,0.7641359640610598
Gaussian_NB,0.8742840166635959
GradientBoost,0.9127349474745091
HistGradientBoost,0.9014969841456226
kNN,0.9525
logistic_regression,0.850275324721324
Multinomial_NB,0.7638847173232821
neural_networks,0.8612690279632806
RF,0.7664423623596267
"Stacking (AB, GB, XGB, HGB)",0.7180850757443425
"Stacking (AB, GB, XGB, HGB, RF, B, ET)",0.7517049280152864
Stacking (All),0.7348277467988322
"Stacking (B, ET)",0.8655129187823317
"Stacking (DT, ANN, KNN)",0.9167783148449731
"Stacking (DT, ANN, KNN, SVM, LR)",0.9195079452310034
"Stacking (DT, ANN, KNN, SVM, LR, GNB, CNB, MNB, BNB)",0.9139554659152361
"Stacking (ET, B, LR)",0.8565226561149997
"Stacking (GNB, CNB, MNB, BNB)",0.8301937243241306
"Stacking (SVM, LR)",0.8863764967869193
SVM,0.888025420138247
XGB,0.9056658257827803
phish,0.5
