estimator,count
AdaBoost_DT,17.25778711566064
Bagging_DT,14.746729148266697
Bernoulli_NB,19.398556785728662
Complement_NB,17.113655149507814
DT,16.5
ET,16.589202941406448
Gaussian_NB,35.0
GradientBoost,16.34193365215561
HistGradientBoost,14.81752327328908
kNN,26.546855448083505
logistic_regression,33.45378850867688
Multinomial_NB,17.395613239587753
neural_networks,33.47799693537854
RF,16.60556213181883
"Stacking (AB, RF, ET, B, HGB, GB, DT, XGB)",20.76776479278233
"Stacking (AB, RF, ET, B, XGB)",22.42204702076494
Stacking (All),23.925617585321504
"Stacking (ANN, LR, GB, HGB, XGB, AB)",23.2875920263836
"Stacking (GNB, BNB, CNB, MNB)",23.108843936437868
"Stacking (kNN, SVM, ANN)",30.290163386126064
"Stacking (kNN, SVM, ANN, DT, GNB, LR)",27.206647818415057
"Stacking (LR, GNB, BNB, CNB, MNB)",32.69078775244441
SVM,16.59366506953116
XGB,20.045768500771374
phish,0.0
