estimator,rate
AdaBoost_DT,0.5337652769640939
Bagging_DT,0.6082324610970722
Bernoulli_NB,0.7645031833824193
Complement_NB,0.5756343264270408
DT,0.31266666666666665
ET,0.5637860200691782
Gaussian_NB,0.5449740527186234
GradientBoost,0.5582895548005365
HistGradientBoost,0.553983938844639
kNN,0.7684140598157393
logistic_regression,0.5487242544478456
Multinomial_NB,0.5756753223260538
neural_networks,0.5468796773953478
RF,0.6316937670007214
"Stacking (AB, RF, ET, B, HGB, GB, DT, XGB)",0.5983271595545724
"Stacking (AB, RF, ET, B, XGB)",0.6032921279595969
Stacking (All),0.6502339798705721
"Stacking (ANN, LR, GB, HGB, XGB, AB)",0.5915697728612005
"Stacking (GNB, BNB, CNB, MNB)",0.5879212881811978
"Stacking (kNN, SVM, ANN)",0.6696914998747211
"Stacking (kNN, SVM, ANN, DT, GNB, LR)",0.5853259775826501
"Stacking (LR, GNB, BNB, CNB, MNB)",0.5474537044950989
SVM,0.529988523089152
XGB,0.6155923880450428
phish,0.5
