estimator,rate
AdaBoost_DT,0.5838837124769161
Bagging_DT,0.871354059304721
Bernoulli_NB,0.9240427497290288
Complement_NB,0.6917656922389728
DT,0.46233333333333343
ET,0.7795101740133026
Gaussian_NB,0.08994810543724677
GradientBoost,0.9636079156989215
HistGradientBoost,0.9901624577829538
kNN,0.8341738207820697
logistic_regression,0.09807087641072275
Multinomial_NB,0.6910964257001152
neural_networks,0.09375959089788481
RF,0.8532760127221308
"Stacking (AB, RF, ET, B, HGB, GB, DT, XGB)",0.9579359969965516
"Stacking (AB, RF, ET, B, XGB)",0.9731753091073791
Stacking (All),0.94210026906855
"Stacking (ANN, LR, GB, HGB, XGB, AB)",0.9561294440711761
"Stacking (GNB, BNB, CNB, MNB)",0.5073928534582592
"Stacking (kNN, SVM, ANN)",0.48994766785235355
"Stacking (kNN, SVM, ANN, DT, GNB, LR)",0.4337075163581316
"Stacking (LR, GNB, BNB, CNB, MNB)",0.12774294050127394
SVM,0.5542447698349267
XGB,0.9472852504253387
phish,1.0
