estimator,count
AdaBoost_DT,1
Bagging_DT,0
Bernoulli_NB,1
Complement_NB,1
DT,0
ET,1
Gaussian_NB,0
GradientBoost,0
HistGradientBoost,1
kNN,1
logistic_regression,1
Multinomial_NB,1
neural_networks,1
RF,1
"Stacking (AB, RF, ET, B, HGB, GB, DT, XGB)",1
"Stacking (AB, RF, ET, B, XGB)",1
Stacking (All),1
"Stacking (ANN, LR, GB, HGB, XGB, AB)",1
"Stacking (GNB, BNB, CNB, MNB)",1
"Stacking (kNN, SVM, ANN)",1
"Stacking (kNN, SVM, ANN, DT, GNB, LR)",1
"Stacking (LR, GNB, BNB, CNB, MNB)",1
SVM,1
XGB,1
phish,1
